TERM CODE,Term Desc,Term,PERSON ID,Subject,Catalog Number,Subject Catalog Number,Campus Code,Course Grade Official,Class GPA,student_id,target_course_id,target_term_label,target_term_index,target_attempt_number,target_grade_code,target_grade_points,target_outcome_code,target_pass_flag,course_sort_order,course_level,pathway_band,student_start_term_index,relative_term_index,math_path_sequence_number,prior_attempt_count_course_family,prior_fail_count_course_family,prior_withdraw_count_course_family,repeat_flag,previous_course_id,previous_term_index,next_course_id,next_term_index,next_outcome_code,next_pass_flag,transition_type,terms_to_next_course_family,stopout_flag,stopout_censor_flag,observation_end_term_index,pass_threshold_points_used,stopout_term_threshold_used,repeat_semantics_used,next_scope_used,same_term_order_rule_used,term_index_scheme_used,network_row_flag,network_source,network_destination,network_edge_weight,network_node_group,network_link_label,network_tooltip_detail,network_repeat_stage,sankey_row_flag,sankey_path_key,sankey_anchor_course_id,sankey_trace_direction,sankey_start_node,sankey_intermediate_1,sankey_intermediate_2,sankey_intermediate_3,sankey_intermediate_4,sankey_intermediate_5,sankey_end_node,sankey_flow_weight,sankey_path_group,sankey_sort_key,sankey_tooltip_detail
2235,2023 Summer Semester,2023 Sum,900000001,MATH,106,MATH 106,TRIC,B,3.0,900000001,MATH 106,2023 Sum,2235,1,B,3.0,pass,1,30,gateway,algebra,2235,0,1,0,0,0,0,,,MATH 171,2237,pass,1,forward,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 106,MATH 171,1,course,Advanced / Changed Course,MATH 106 2023 Sum grade B; next=MATH 171; outcome=pass,1,1,900000001-path-1,MATH 220 (Repeat 1),forward_from_first_math,MATH 106,MATH 171,MATH 172,MATH 220,,,MATH 220 (Repeat 1),1,Repeat/Stopout Risk,2235,900000001: MATH 106 -> MATH 171 -> MATH 172 -> MATH 220 -> MATH 220 (Repeat 1)
2237,2023 Fall Semester,2023 Fall,900000001,MATH,171,MATH 171,TRIC,C,2.0,900000001,MATH 171,2023 Fall,2237,1,C,2.0,pass,1,50,gateway,calculus,2235,1,2,1,0,0,0,MATH 106,2235,MATH 172,2243,pass,1,forward,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 171,MATH 172,1,course,Advanced / Changed Course,MATH 171 2023 Fall grade C; next=MATH 172; outcome=pass,1,0,,,,,,,,,,,,,,
2243,2024 Spring Semester,2024 Spr,900000001,MATH,172,MATH 172,TRIC,B-,2.7,900000001,MATH 172,2024 Spr,2243,1,B-,2.7,pass,1,60,advanced,calculus,2235,2,3,2,0,0,0,MATH 171,2237,MATH 220,2245,fail,0,forward,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 172,MATH 220,1,course,Advanced / Changed Course,MATH 172 2024 Spr grade B-; next=MATH 220; outcome=pass,1,0,,,,,,,,,,,,,,
2245,2024 Summer Semester,2024 Sum,900000001,MATH,220,MATH 220,TRIC,F,0.0,900000001,MATH 220,2024 Sum,2245,1,F,0.0,fail,0,100,advanced,linear_algebra,2235,3,4,3,0,0,0,MATH 172,2243,MATH 220,2247,fail,0,repeat,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 220,MATH 220,1,repeat,Repeated Same Course,MATH 220 2024 Sum grade F; next=MATH 220; outcome=fail,1,0,,,,,,,,,,,,,,
2247,2024 Fall Semester,2024 Fall,900000001,MATH,220,MATH 220,TRIC,D+,1.3,900000001,MATH 220,2024 Fall,2247,2,D+,1.3,fail,0,100,advanced,linear_algebra,2235,4,5,4,1,0,1,MATH 220,2245,,,,,terminal,,1,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 220,No Further Course,1,target,No Further Course,MATH 220 2024 Fall grade D+; next=No Further Course; outcome=fail,2,0,,,,,,,,,,,,,,
2235,2023 Summer Semester,2023 Sum,900000002,MATH,140,MATH 140,TRIC,B-,2.7,900000002,MATH 140,2023 Sum,2235,1,B-,2.7,pass,1,45,gateway,statistics,2235,0,1,0,0,0,0,,,MATH 201,2237,pass,1,forward,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 140,MATH 201,1,course,Advanced / Changed Course,MATH 140 2023 Sum grade B-; next=MATH 201; outcome=pass,1,1,900000002-path-1,MATH 202,forward_from_first_math,MATH 140,MATH 201,,,,,MATH 202,1,Repeat/Stopout Risk,2235,900000002: MATH 140 -> MATH 201 -> MATH 202
2237,2023 Fall Semester,2023 Fall,900000002,MATH,201,MATH 201,TRIC,A,4.0,900000002,MATH 201,2023 Fall,2237,1,A,4.0,pass,1,70,advanced,quantitative_reasoning,2235,1,2,1,0,0,0,MATH 140,2235,MATH 202,2243,fail,0,forward,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 201,MATH 202,1,course,Advanced / Changed Course,MATH 201 2023 Fall grade A; next=MATH 202; outcome=pass,1,0,,,,,,,,,,,,,,
2243,2024 Spring Semester,2024 Spr,900000002,MATH,202,MATH 202,TRIC,D,1.0,900000002,MATH 202,2024 Spr,2243,1,D,1.0,fail,0,80,advanced,quantitative_reasoning,2235,2,3,2,0,0,0,MATH 201,2237,,,,,terminal,,1,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 202,No Further Course,1,course,No Further Course,MATH 202 2024 Spr grade D; next=No Further Course; outcome=fail,1,0,,,,,,,,,,,,,,
2233,2023 Spring Semester,2023 Spr,900000003,MATH,220,MATH 220,VANCO,C+,2.3,900000003,MATH 220,2023 Spr,2233,1,C+,2.3,pass,1,100,advanced,linear_algebra,2233,0,1,0,0,0,0,,,,,,,terminal,,1,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 220,No Further Course,1,target,No Further Course,MATH 220 2023 Spr grade C+; next=No Further Course; outcome=pass,1,1,900000003-path-1,No Further Course,forward_from_first_math,MATH 220,,,,,,No Further Course,1,Completed/Persisted,2233,900000003: MATH 220 -> No Further Course
2233,2023 Spring Semester,2023 Spr,900000004,MATH,201,MATH 201,PULLM,B,3.0,900000004,MATH 201,2023 Spr,2233,1,B,3.0,pass,1,70,advanced,quantitative_reasoning,2233,0,1,0,0,0,0,,,MATH 202,2235,fail,0,forward,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 201,MATH 202,1,course,Advanced / Changed Course,MATH 201 2023 Spr grade B; next=MATH 202; outcome=pass,1,1,900000004-path-1,MATH 220,forward_from_first_math,MATH 201,MATH 202,MATH 202 (Repeat 1),,,,MATH 220,1,Completed/Persisted,2233,900000004: MATH 201 -> MATH 202 -> MATH 202 (Repeat 1) -> MATH 220
2235,2023 Summer Semester,2023 Sum,900000004,MATH,202,MATH 202,PULLM,F,0.0,900000004,MATH 202,2023 Sum,2235,1,F,0.0,fail,0,80,advanced,quantitative_reasoning,2233,1,2,1,0,0,0,MATH 201,2233,MATH 202,2237,pass,1,repeat,1,0,0,2257,2.0,2,all_attempts,immediate_next_course_family,course_sort_order,SDW STRM YYYT,1,MATH 202,MATH 202,1,repeat,Repeated Same Course,MATH 202 2023 Sum grade F; next=MATH 202; outcome=fail,1,0,,,,,,,,,,,,,,
